Class,Accuracy
0,0.95
1,0.95
2,0.95
3,0.95
4,1.0
5,1.0
6,1.0
7,1.0
8,0.95
9,1.0
10,0.95
11,0.9
12,1.0
13,0.9
14,1.0
15,0.95
16,0.9
17,0.9
18,1.0
19,0.9
20,1.0
21,1.0
22,0.85
23,0.9
24,0.9
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,0.95
31,0.95
32,0.95
33,1.0
34,0.8
35,0.95
36,1.0
37,0.85
38,1.0
39,1.0
40,0.95
41,1.0
42,1.0
43,1.0
44,0.95
45,0.85
46,0.95
47,1.0
48,1.0
49,1.0
50,0.95
51,0.95
52,0.9
53,0.95
54,0.9
55,1.0
56,1.0
57,0.95
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,0.9
64,0.95
65,1.0
66,0.95
67,0.95
68,1.0
69,1.0
70,1.0
71,0.95
72,0.95
73,1.0
74,0.95
75,1.0
76,0.9
77,0.85
78,1.0
79,0.95
80,1.0
81,0.95
82,1.0
83,0.9
84,1.0
85,0.9
86,0.95
87,1.0
88,0.95
89,1.0
90,1.0
91,0.95
92,0.95
93,1.0
94,1.0
