Class,Accuracy
0,1.0
1,1.0
2,1.0
3,1.0
4,0.875
5,1.0
6,0.875
7,1.0
8,1.0
9,1.0
10,0.875
11,0.0
12,0.625
13,1.0
14,1.0
15,0.75
16,0.875
17,1.0
18,1.0
19,0.875
20,0.875
21,0.625
22,0.875
23,0.625
24,0.875
25,0.5
26,0.875
27,1.0
28,1.0
29,0.125
30,1.0
31,0.5
32,1.0
33,0.875
34,1.0
35,1.0
36,1.0
37,0.875
38,1.0
39,0.75
40,0.75
41,0.875
42,0.875
43,0.5
44,0.875
45,1.0
46,1.0
47,0.875
48,1.0
49,1.0
50,0.625
51,0.875
52,1.0
53,0.75
54,1.0
55,1.0
56,0.75
57,1.0
58,0.875
59,0.875
60,1.0
61,0.625
62,0.625
63,1.0
64,0.875
65,1.0
66,0.5
67,0.75
68,0.625
69,0.75
70,0.625
71,1.0
72,1.0
73,1.0
74,0.875
